,M,S,E,I,C,R,Total,Rep
0.03682942065455873,125,14,0,4,0,857,1000,8
0.036864385962211886,126,14,0,4,0,857,1001,8
0.03733511916716026,126,14,0,4,0,856,1000,8
0.03740873173734177,126,14,0,3,0,857,1000,8
0.03800657772485159,127,14,0,3,0,857,1001,8
0.03889383672531938,127,14,0,2,0,858,1001,8
0.04076878753958359,127,14,0,1,0,859,1001,8
0.04268416139618247,128,14,0,1,0,859,1002,8
0.04402766631953254,129,14,0,1,0,859,1003,8
0.04568024861656106,129,14,0,1,0,858,1002,8
0.04599259498549131,130,14,0,1,0,858,1003,8
0.046780941152086086,130,14,0,1,0,857,1002,8
0.04854951296138399,130,14,0,1,0,856,1001,8
0.05087198257107595,130,14,0,1,0,855,1000,8
0.05101989339625942,130,14,0,0,0,856,1000,8
0.0,99,14,0,1,0,886,1000,9
0.0008016372039312732,100,14,0,1,0,886,1001,9
0.0008660413972152448,100,14,0,1,0,885,1000,9
0.0021430456974812183,101,14,0,1,0,885,1001,9
0.002255807313487481,102,14,0,1,0,885,1002,9
0.004231919045224686,102,14,0,1,0,884,1001,9
0.004504153829070269,103,14,0,1,0,884,1002,9
0.006062337571015716,104,14,0,1,0,884,1003,9
0.0061213231927147674,105,14,0,1,0,884,1004,9
0.006850939612763378,106,14,0,1,0,884,1005,9
0.0074700193785557974,107,14,0,1,0,884,1006,9
0.00914836501367126,108,14,0,1,0,884,1007,9
0.009488761703684734,108,14,0,1,0,883,1006,9
0.010048838994101871,109,14,0,1,0,883,1007,9
0.010984494353203311,108,14,0,1,0,883,1006,9
0.011170664333185903,109,14,0,1,0,883,1007,9
0.012216391790159431,109,14,0,1,0,882,1006,9
0.012422790666972716,109,14,0,1,0,881,1005,9
0.012948289979504146,109,14,0,1,0,880,1004,9
0.016570429823406643,110,14,0,1,0,880,1005,9
0.017792669221683644,111,14,0,1,0,880,1006,9
0.018544991409529255,111,14,0,1,0,879,1005,9
0.022518245906634596,112,14,0,1,0,879,1006,9
0.023426956114276126,113,14,0,1,0,879,1007,9
0.02532646172606845,114,14,0,1,0,879,1008,9
0.027360096517249088,115,14,0,1,0,879,1009,9
0.028114127475035958,116,14,0,1,0,879,1010,9
0.028305027971637153,117,14,0,1,0,879,1011,9
0.031714536492439445,118,14,0,1,0,879,1012,9
0.03191035450532948,119,14,0,1,0,879,1013,9
0.03999999999999998,118,15,0,1,0,879,1013,9
0.040499695043883614,119,15,0,1,0,879,1014,9
0.04078955846763406,120,15,0,1,0,879,1015,9
0.04237065767320036,120,15,0,1,0,878,1014,9
0.0423803431951357,120,15,0,0,0,879,1014,9
0.0,94,19,0,1,0,886,1000,10
0.0009687236368911556,94,19,0,1,0,885,999,10
0.0027580439647667213,95,19,0,1,0,885,1000,10
0.00377177549674823,96,19,0,1,0,885,1001,10
0.006607501820114319,97,19,0,1,0,885,1002,10
0.010028033405286591,97,18,1,1,0,885,1002,10
0.010060175131048399,97,18,1,1,0,884,1001,10
0.010735395819704159,98,18,1,1,0,884,1002,10
0.011109031547712405,98,18,0,2,0,884,1002,10
0.011537446392260047,99,18,0,2,0,884,1003,10
0.011873996038331247,100,18,0,2,0,884,1004,10
0.014321413889446464,100,18,0,1,0,885,1004,10
0.017468557019563933,101,18,0,1,0,885,1005,10
0.017769865759550654,102,18,0,1,0,885,1006,10
0.01808772475380479,103,18,0,1,0,885,1007,10
0.01812846910387833,103,18,0,1,0,884,1006,10
0.01891141014743154,103,17,1,1,0,884,1006,10
0.019070616786558407,103,17,1,0,0,885,1006,10
0.019111681402046388,102,17,1,0,0,885,1005,10
0.019438422455433514,103,17,1,0,0,885,1006,10
0.019581368246604225,102,17,1,0,0,885,1005,10
0.021199865537163836,102,17,0,1,0,885,1005,10
0.02177877699099102,103,17,0,1,0,885,1006,10
0.023339260458070648,104,17,0,1,0,885,1007,10
0.02613765277815397,105,17,0,1,0,885,1008,10
0.026332502159940634,104,17,0,1,0,885,1007,10
0.027082380806494395,105,17,0,1,0,885,1008,10
0.028624276510304192,105,17,0,1,0,884,1007,10
0.028905746045968638,105,17,0,0,0,885,1007,10
0.0,101,17,0,1,0,881,1000,11
0.0009019060121710305,102,17,0,1,0,881,1001,11
0.0028057567658503757,102,17,0,1,0,880,1000,11
0.003504094685570556,103,17,0,1,0,880,1001,11
0.007185941443444002,104,17,0,1,0,880,1002,11
0.00858020348181654,104,17,0,1,0,879,1001,11
0.008744009248132976,105,17,0,1,0,879,1002,11
0.0098086994277003,106,17,0,1,0,879,1003,11
0.009889510546807756,106,17,0,1,0,878,1002,11
0.012317914201042154,107,17,0,1,0,878,1003,11
0.014237819005766419,108,17,0,1,0,878,1004,11
0.014565113950339163,108,16,1,1,0,878,1004,11
0.015276260610303476,108,16,0,2,0,878,1004,11
