,M,S,I,R,Total,Rep
0.015703701836700248,74,267,1,662,1004,7
0.01759798010942457,75,267,1,662,1005,7
0.01772924310661262,75,267,0,663,1005,7
0.01963382112158455,76,267,0,663,1006,7
0.0,62,256,2,680,1000,8
0.00015606142879398882,62,256,1,681,1000,8
0.0004845619307955212,63,256,1,681,1001,8
0.0025438482995276614,64,256,1,681,1002,8
0.0035465542786458047,65,256,1,681,1003,8
0.005725140119823179,66,256,1,681,1004,8
0.007450992247955674,66,257,1,681,1005,8
0.007565872652232456,67,257,1,681,1006,8
0.009001337396153443,68,257,1,681,1007,8
0.009540416008865016,68,257,1,680,1006,8
0.0117611753666915,69,257,1,680,1007,8
0.014092738901185363,69,257,0,681,1007,8
0.014769023559424,69,257,0,680,1006,8
0.0,66,227,3,704,1000,9
0.0004965124804127666,66,227,2,705,1000,9
0.001078324022675048,66,227,2,704,999,9
0.00159985371021332,66,227,1,705,999,9
0.004435869133854424,67,227,1,705,1000,9
0.007596583885133554,66,227,1,705,999,9
0.009201396011415675,66,227,1,704,998,9
0.009389632559662941,67,227,1,704,999,9
0.010000000000000009,66,228,1,704,999,9
0.010268713625251679,66,228,0,705,999,9
0.01106726648969314,66,228,0,704,998,9
0.0,61,276,1,662,1000,10
0.0023532633597440045,61,277,1,662,1001,10
0.0033887824705073387,61,276,2,662,1001,10
0.004026534193373817,61,275,3,662,1001,10
0.0041861736740966635,61,274,4,662,1001,10
0.004463418758348322,61,273,5,662,1001,10
0.005157947320207164,61,273,4,663,1001,10
0.005161014127218058,62,273,4,663,1002,10
0.0077307350884121785,62,273,3,664,1002,10
0.009643710565599596,62,272,4,664,1002,10
0.012862182586053095,62,271,4,664,1001,10
0.013230063795293071,62,271,3,665,1001,10
0.015688383514455954,62,270,4,665,1001,10
0.01595257543427664,62,270,4,664,1000,10
0.017393639732030685,62,270,3,665,1000,10
0.017528450451166855,62,269,4,665,1000,10
0.0177971486208261,62,270,4,665,1001,10
0.019019171019110596,61,270,4,665,1000,10
0.020000000000000018,60,271,4,665,1000,10
0.021780745311130025,60,270,5,665,1000,10
0.022041163642173543,60,269,6,665,1000,10
0.023070219517036472,60,268,6,665,999,10
0.024083430884542102,60,267,7,665,999,10
0.02468200553260828,60,267,6,666,999,10
0.025917516601742,60,268,6,666,1000,10
0.026302932311960063,60,267,7,666,1000,10
0.026444449532700892,60,266,8,666,1000,10
0.02680420824085962,60,266,7,667,1000,10
0.02738780256829979,60,265,8,667,1000,10
0.027390167404582333,60,265,7,668,1000,10
0.027687900026988045,61,265,7,668,1001,10
0.028613538778127837,62,265,7,668,1002,10
0.02898143790552328,62,264,8,668,1002,10
0.02976011256572756,62,265,8,668,1003,10
0.031005002239865975,62,265,7,669,1003,10
0.03305111290173362,62,264,8,669,1003,10
0.03309989349838584,62,264,7,670,1003,10
0.0333655284323766,62,264,6,671,1003,10
0.034421744926457276,62,264,5,672,1003,10
0.034650054933531,62,264,4,673,1003,10
0.03509128960528088,62,264,3,674,1003,10
0.03760496421302285,63,264,3,674,1004,10
0.03766188198729647,63,263,4,674,1004,10
0.037728959018251386,63,263,3,675,1004,10
0.038431934633460695,63,263,2,676,1004,10
0.038460706358501184,63,262,2,676,1003,10
0.03998085034644998,63,262,1,677,1003,10
0.04015285740706709,63,262,1,676,1002,10
0.04245955318647473,64,262,1,676,1003,10
0.05055192149475607,64,261,1,676,1002,10
0.05345395258643215,64,261,1,675,1001,10
0.054292860354306645,64,260,2,675,1001,10
0.05689510379493598,64,259,3,675,1001,10
0.05868560573051446,65,259,3,675,1002,10
0.058961253304887336,65,259,2,676,1002,10
0.0612074617296523,65,258,2,676,1001,10
0.06125623531171818,66,258,2,676,1002,10
0.06244995312343866,66,258,1,677,1002,10
0.06379106363467557,66,259,1,677,1003,10
0.0644717155200406,67,259,1,677,1004,10
0.06696637428766714,68,259,1,677,1005,10
0.06790759604289036,69,259,1,677,1006,10
0.0681762520847781,70,259,1,677,1007,10
0.06860447837282457,70,259,1,676,1006,10
0.07122050077639464,70,258,2,676,1006,10
0.07291944590942893,70,259,2,676,1007,10
0.07624277516395746,71,259,2,676,1008,10
0.07666966314263234,71,258,3,676,1008,10
0.07826889165211595,72,258,3,676,1009,10
0.079174269161482,72,258,2,677,1009,10
0.08000000000000002,71,259,2,677,1009,10
0.08063417019321963,71,259,1,678,1009,10
0.08413516944827876,72,259,1,678,1010,10
0.0873426696391002,72,259,1,677,1009,10
0.08826215031606169,73,259,1,677,1010,10
0.08834472233587262,74,259,1,677,1011,10
0.089333416834066,74,259,0,678,1011,10
0.10013394565726523,75,259,0,678,1012,10
0.0,50,242,2,706,1000,11
0.0006522492289740001,50,242,2,705,999,11
0.0010907657227838142,51,242,2,705,1000,11
0.0036320000220369914,52,242,2,705,1001,11
0.005902880048771486,52,242,2,704,1000,11
0.006180326056976248,53,242,2,704,1001,11
0.00721998542807774,54,242,2,704,1002,11
0.008767899077890107,54,242,2,703,1001,11
0.009576593430491241,55,242,2,703,1002,11
0.011604014911983372,56,242,2,703,1003,11
0.012039684014711855,56,241,3,703,1003,11
0.015795317960760256,56,241,2,704,1003,11
0.016143738400588307,57,241,2,704,1004,11
0.01803327043928815,57,240,2,704,1003,11
0.019732999172136154,58,240,2,704,1004,11
0.020000000000000018,57,241,2,704,1004,11
0.020000000000000018,56,242,2,704,1004,11
0.020259458626387797,56,241,3,704,1004,11
0.021273602944402725,56,241,3,703,1003,11
0.021492078860200436,56,241,3,702,1002,11
0.022158991961527912,57,241,3,702,1003,11
0.02423431871503523,56,241,3,702,1002,11
0.025403868494761284,56,241,3,701,1001,11
0.02653238978534876,56,240,4,701,1001,11
0.02777984237629482,56,241,4,701,1002,11
0.02849438364526334,57,241,4,701,1003,11
0.02977598738529573,57,240,5,701,1003,11
0.032557932720910183,57,240,4,702,1003,11
