ID,capture,SAT,titer
16,10,1,1.92153466161015
16,10,2,>2.2
16,10,3,1.42238954597404
16,11,1,>2.2
16,11,2,>2.2
16,11,3,1.47844311097926
16,12,1,>2.2
16,12,2,>2.2
16,12,3,1.47959126638392
16,13,1,2.4
16,13,2,2
16,13,3,1.4
16,14,1,2.2
16,14,2,2.3
16,14,3,<1.3
16,15,1,2.4
16,15,2,2.4
16,15,3,1.7
16,16,1,2.2
16,16,2,1.9
16,16,3,1.5
16,17,1,2.1
16,17,2,2.3
16,17,3,<1.3
17,1,1,1.45062749884293
17,1,2,>2.2
17,1,3,<1.3
17,3,1,>2.2
17,3,2,>2.2
17,3,3,1.72494529303683
17,4,1,>2.2
17,4,2,>2.2
17,4,3,1.5
17,5,1,>2.2
17,5,2,>2.2
17,5,3,>2.2
17,6,1,>2.2
17,6,2,>2.2
17,6,3,>2.2
17,7,1,>2.2
17,7,2,>2.2
17,7,3,>2.2
17,8,1,>2.2
17,8,2,>2.2
17,8,3,>2.2
17,9,1,>2.2
17,9,2,>2.2
17,9,3,>2.2
17,10,1,2.19782835895234
17,10,2,>2.2
17,10,3,2.00440516713067
17,11,1,>2.2
17,11,2,>2.2
17,11,3,>2.2
17,12,1,>2.2
17,12,2,>2.2
17,12,3,1.93060204515822
17,13,1,2.4
17,13,2,1.9
17,13,3,1.5
17,14,1,2.4
17,14,2,2.4
17,14,3,1.8
17,15,1,2.4
17,15,2,2.4
17,15,3,1.8
17,16,1,2.4
17,16,2,2.2
17,16,3,2.1
17,17,1,2.3
17,17,2,2.3
17,17,3,<1.3
18,1,1,<1.3
18,1,2,1.65837310502818
18,1,3,<1.3
18,3,1,>2.2
18,3,2,1.72198569830301
18,3,3,1.77173752034212
18,4,1,>2.2
18,4,2,>2.2
18,4,3,>2.2
18,5,1,1.73979031113437
18,5,2,1.89466956753281
18,5,3,1.60903121228018
19,1,1,1.7657869121638
19,1,2,>2.2
19,1,3,1.58123197000635
19,3,1,>2.2
19,3,2,>2.2
19,3,3,>2.2
19,4,1,2
19,4,2,>2.2
19,4,3,<1.3
19,5,1,1.79966293319715
19,5,2,>2.2
19,5,3,1.82818149771212
19,6,1,>2.2
19,6,2,>2.2
19,6,3,>2.2
19,7,1,>2.2
19,7,2,>2.2
19,7,3,>2.2
19,8,1,>2.2
19,8,2,>2.2
19,8,3,>2.2
19,9,1,>2.2
19,9,2,>2.2
19,9,3,>2.2
19,10,1,>2.2
19,10,2,>2.2
19,10,3,2.0876804141152
19,12,1,>2.2
19,12,2,<1.3
19,12,3,>2.2
19,13,1,2.4
19,13,2,1.9
19,13,3,1.7
19,14,1,2.4
19,14,2,2.3
19,14,3,1.9
19,15,1,2.4
19,15,2,2.2
19,15,3,1.7
19,16,1,2.4
19,16,2,1.6
19,16,3,1.8
19,17,1,2.3
19,17,2,1.9
19,17,3,<1.3
20,1,1,>2.2
20,1,2,>2.2
20,1,3,1.41135342110192
20,3,1,1.61624017841089
20,3,2,>2.2
20,3,3,<1.3
20,4,1,1.6
20,4,2,2.1
20,4,3,<1.3
20,5,1,1.45790822917667
20,5,2,>2.2
20,5,3,<1.3
20,6,1,1.8
20,6,2,>2.2
20,6,3,<1.3
20,8,1,>2.2
20,8,2,>2.2
20,8,3,1.70337058919811
20,9,1,>2.2
20,9,2,>2.2
20,9,3,>2.2
20,10,1,>2.2
20,10,2,1.68037954320845
20,10,3,1.97016798400555
20,12,1,>2.2
20,12,2,>2.2
20,12,3,1.53621802688149
20,13,1,2.4
20,13,2,2
20,13,3,1.4
20,14,1,2.4
20,14,2,2.2
20,14,3,<1.3
20,15,1,2.4
20,15,2,2.4
20,15,3,1.6
20,16,1,2.4
20,16,2,1.9
20,16,3,1.5
20,17,1,2.4
20,17,2,2.4
20,17,3,<1.3
21,1,1,<1.3
21,1,2,>2.2
21,1,3,<1.3
21,3,1,1.78545309628303
21,3,2,>2.2
21,3,3,<1.3
21,4,1,1.9
21,4,2,2.2
21,4,3,<1.3
21,5,1,1.86026131560623
21,5,2,>2.2
21,5,3,1.33924496142932
21,6,1,1.9
21,6,2,>2.2
21,6,3,<1.3
21,7,1,>2.2
21,7,2,>2.2
21,7,3,1.82258679629505
21,8,1,2.05941397164584
21,8,2,>2.2
21,8,3,1.53733728060893
21,9,1,1.9
21,9,2,>2.2
21,9,3,1.9
21,10,1,>2.2
21,10,2,>2.2
21,10,3,1.40533182596591
21,11,1,>2.2
21,11,2,1.77523024345283
21,11,3,1.39229681707665
21,12,1,2.05990142895635
