ID,capture,year,month,day
139,11,2015,12,1
139,12,2016,3,2
139,13,2016,5,30
139,14,,,
139,15,2016,10,4
139,16,2016,12,5
139,17,,,
139,18,2017,5,31
139,19,2017,8,3
140,12,2016,2,29
140,13,2016,5,30
140,14,,,
140,15,2016,10,3
140,16,2016,12,5
140,17,,,
140,18,2017,5,31
140,19,2017,8,2
141,13,2016,5,30
142,13,2016,5,30
142,14,,,
142,15,2016,10,4
142,16,2016,12,5
142,17,,,
142,18,2017,5,31
142,19,2017,8,2
143,13,2016,5,30
144,17,,,
144,18,2017,5,30
144,19,2017,8,2
